Date,Segment,Region,Deal_Value_Billion,Revenue_Growth_Pct,EBITDA_Margin_Pct,Rule_of_X,Deal_Type
2025-10-23,Biopharma,Asia-Pacific,0.252,11.0,12.4,23.4,Buyout
2025-07-06,Biopharma,Europe,0.024,5.0,11.3,16.3,Take-Private
2025-09-21,Biopharma,Asia-Pacific,0.031,7.0,17.0,24.0,Carve-out
2025-08-25,Biopharma,North America,0.661,10.8,16.1,26.9,Sponsor-to-Sponsor
2025-05-15,Biopharma,North America,5.331,10.7,19.2,30.0,Carve-out
2025-02-27,Biopharma,Europe,3.356,11.5,15.4,26.9,Take-Private
2025-02-25,Biopharma,North America,0.042,10.4,8.4,18.8,Take-Private
2025-09-29,Biopharma,North America,0.009,10.3,16.1,26.4,Take-Private
2025-05-10,Biopharma,Europe,0.199,12.0,15.0,27.0,Sponsor-to-Sponsor
2025-06-27,Biopharma,North America,0.149,8.5,15.9,24.4,Carve-out
2025-02-07,Biopharma,North America,0.235,7.0,11.7,18.7,Sponsor-to-Sponsor
2025-02-20,Biopharma,North America,0.477,10.2,10.9,21.1,Take-Private
2025-05-03,Biopharma,Europe,0.373,10.6,14.5,25.1,Take-Private
2025-02-12,Biopharma,Europe,1.494,16.4,16.6,33.1,Sponsor-to-Sponsor
2025-01-01,Biopharma,North America,0.171,6.9,16.4,23.4,Carve-out
2025-07-28,Biopharma,North America,0.071,4.5,19.9,24.4,Carve-out
2025-02-15,Biopharma,Asia-Pacific,0.023,11.0,17.9,28.9,Take-Private
2025-07-23,Biopharma,North America,1.339,9.8,12.4,22.3,Take-Private
2025-11-10,Biopharma,North America,0.063,11.8,15.7,27.5,Carve-out
2025-02-16,Biopharma,Asia-Pacific,0.182,11.2,12.3,23.5,Take-Private
2025-08-16,Biopharma,North America,0.026,9.8,23.6,33.4,Take-Private
2025-11-13,Biopharma,Europe,0.523,12.3,22.8,35.1,Buyout
2025-03-18,Biopharma,North America,1.11,14.0,17.4,31.4,Sponsor-to-Sponsor
2025-09-23,Biopharma,North America,0.797,11.8,11.0,22.8,Sponsor-to-Sponsor
2025-10-17,Biopharma,North America,0.18,7.4,21.0,28.4,Carve-out
2025-01-08,Biopharma,Asia-Pacific,0.04,11.6,8.7,20.3,Buyout
2025-01-30,Biopharma,North America,0.18,13.2,14.9,28.1,Buyout
2025-10-04,Biopharma,North America,2.119,9.8,11.0,20.8,Take-Private
2025-06-17,Biopharma,Europe,0.014,8.2,5.6,13.8,Take-Private
2025-10-01,Biopharma,Europe,0.136,12.6,12.2,24.8,Take-Private
2025-06-17,Biopharma,North America,0.227,9.7,7.8,17.5,Take-Private
2025-08-14,Biopharma,Asia-Pacific,0.198,9.3,8.9,18.2,Take-Private
2025-03-24,Biopharma,Europe,0.033,8.2,14.9,23.2,Take-Private
2025-10-30,Biopharma,Europe,11.604,11.2,24.8,36.0,Buyout
2025-07-22,Biopharma,North America,0.314,9.2,19.8,29.0,Sponsor-to-Sponsor
2025-01-22,Biopharma,Europe,0.276,15.6,15.8,31.4,Carve-out
2025-01-21,Biopharma,North America,0.419,9.4,15.5,24.9,Sponsor-to-Sponsor
2025-11-19,Biopharma,North America,1.315,7.8,15.8,23.6,Buyout
2025-02-13,Biopharma,North America,0.738,6.5,20.3,26.8,Take-Private
2025-05-25,Biopharma,North America,1.06,13.6,18.3,31.9,Take-Private
2025-03-03,Biopharma,Europe,0.975,6.9,15.0,21.9,Sponsor-to-Sponsor
2025-04-21,Biopharma,North America,0.107,13.0,26.0,39.0,Sponsor-to-Sponsor
2025-07-05,Biopharma,Europe,0.065,13.2,16.7,29.9,Carve-out
2025-08-28,Biopharma,Asia-Pacific,0.262,9.2,15.2,24.4,Sponsor-to-Sponsor
2025-10-20,Biopharma,Asia-Pacific,0.781,13.3,18.4,31.8,Buyout
2025-04-09,Biopharma,North America,0.075,12.6,20.9,33.4,Carve-out
2025-09-24,Biopharma,North America,0.457,7.8,14.7,22.5,Buyout
2025-09-11,Biopharma,Europe,0.126,15.1,13.4,28.5,Sponsor-to-Sponsor
2025-02-15,Biopharma,Europe,0.55,11.5,17.4,28.9,Buyout
2025-07-12,Biopharma,Europe,0.446,6.5,7.6,14.1,Take-Private
2025-02-15,Biopharma,North America,0.763,13.0,9.7,22.7,Buyout
2025-05-01,Biopharma,North America,0.159,5.1,24.0,29.1,Take-Private
2025-06-18,Biopharma,Europe,0.347,6.3,13.0,19.3,Carve-out
2025-06-04,Biopharma,Asia-Pacific,1.356,4.3,9.1,13.4,Carve-out
2025-01-18,Biopharma,Asia-Pacific,0.132,9.4,26.7,36.2,Sponsor-to-Sponsor
2025-10-11,Biopharma,North America,0.608,12.4,18.9,31.4,Buyout
2025-07-01,Biopharma,North America,0.576,2.7,18.2,20.9,Take-Private
2025-02-19,Biopharma,North America,0.171,9.7,9.8,19.5,Carve-out
2025-04-24,Biopharma,Europe,0.622,12.7,9.2,21.9,Buyout
2025-11-19,Biopharma,North America,0.483,10.0,10.7,20.7,Buyout
2025-07-04,Biopharma,Asia-Pacific,0.489,9.6,11.0,20.6,Buyout
2025-03-21,Biopharma,Asia-Pacific,1.166,7.6,16.1,23.7,Buyout
2025-06-04,Biopharma,Asia-Pacific,0.114,7.2,17.9,25.1,Carve-out
2025-07-11,Provider,Asia-Pacific,1.231,16.6,11.9,28.5,Sponsor-to-Sponsor
2025-01-03,Provider,North America,0.155,7.9,15.3,23.2,Buyout
2025-01-02,Provider,Asia-Pacific,0.348,10.4,19.9,30.3,Take-Private
2025-06-04,Provider,North America,0.284,11.1,13.8,24.9,Take-Private
2025-07-07,Provider,Asia-Pacific,6.725,6.9,15.3,22.2,Carve-out
2025-04-17,Provider,Asia-Pacific,0.011,9.7,20.8,30.5,Sponsor-to-Sponsor
2025-04-14,Provider,Europe,0.026,11.7,10.3,22.0,Sponsor-to-Sponsor
2025-09-30,Provider,Asia-Pacific,0.009,13.2,25.0,38.2,Buyout
2025-06-22,Provider,Europe,0.558,9.0,24.1,33.1,Buyout
2025-06-29,Provider,North America,0.057,14.4,17.0,31.3,Take-Private
2025-06-10,Provider,North America,0.004,7.8,23.0,30.7,Buyout
2025-02-26,Provider,Europe,0.112,9.3,11.5,20.8,Carve-out
2025-11-20,Provider,North America,0.685,10.7,16.2,26.9,Take-Private
2025-04-01,Provider,North America,0.048,11.3,23.1,34.4,Buyout
2025-01-18,Provider,North America,0.061,10.3,15.8,26.1,Sponsor-to-Sponsor
2025-06-18,Provider,Asia-Pacific,0.082,8.7,14.9,23.7,Sponsor-to-Sponsor
2025-04-11,Provider,North America,0.322,14.7,20.8,35.5,Carve-out
2025-09-26,Provider,Europe,0.498,6.7,16.5,23.2,Buyout
2025-06-07,Provider,North America,0.015,15.4,23.3,38.7,Carve-out
2025-06-24,Provider,Europe,1.551,9.1,12.4,21.4,Buyout
2025-06-15,Provider,Europe,0.062,10.3,20.3,30.6,Carve-out
2025-03-03,Provider,North America,1.136,8.7,15.8,24.5,Sponsor-to-Sponsor
2025-03-15,Provider,Europe,0.015,9.4,7.0,16.5,Take-Private
2025-05-25,Provider,Europe,0.048,12.8,4.1,16.9,Sponsor-to-Sponsor
2025-04-18,Provider,Europe,0.388,9.2,19.9,29.0,Take-Private
2025-05-14,Provider,North America,0.027,8.9,9.7,18.6,Buyout
2025-04-01,Provider,Europe,0.079,3.7,20.3,24.0,Take-Private
2025-10-27,Provider,Asia-Pacific,1.26,10.3,15.1,25.4,Buyout
2025-08-27,Provider,Europe,0.081,12.1,12.7,24.9,Buyout
2025-08-21,Provider,Europe,0.27,5.1,20.9,26.0,Sponsor-to-Sponsor
2025-10-15,Provider,Europe,0.039,4.2,6.8,11.0,Carve-out
2025-07-08,Provider,North America,1.031,9.2,23.1,32.3,Sponsor-to-Sponsor
2025-04-28,Provider,North America,1.606,13.5,9.4,22.9,Sponsor-to-Sponsor
2025-07-15,Provider,Asia-Pacific,0.367,5.9,12.5,18.4,Take-Private
2025-07-21,Provider,Europe,0.016,11.8,21.9,33.7,Buyout
2025-06-26,Provider,North America,0.016,7.9,10.5,18.4,Sponsor-to-Sponsor
2025-05-04,Provider,North America,0.018,10.9,15.9,26.7,Buyout
2025-03-31,Provider,North America,1.446,12.7,9.3,21.9,Take-Private
2025-07-15,Provider,North America,0.052,11.4,17.4,28.8,Buyout
2025-11-14,Provider,North America,0.208,13.3,20.2,33.6,Sponsor-to-Sponsor
2025-07-29,Provider,North America,0.01,7.9,7.2,15.2,Sponsor-to-Sponsor
2025-11-08,Provider,Europe,0.775,11.2,17.5,28.7,Carve-out
2025-10-19,Provider,North America,0.134,7.7,15.0,22.7,Carve-out
2025-07-02,Provider,North America,0.084,14.2,13.6,27.8,Buyout
2025-07-12,Provider,North America,0.309,14.3,18.6,32.9,Carve-out
2025-02-07,Provider,North America,0.045,9.4,19.0,28.4,Buyout
2025-02-02,Provider,Europe,0.144,14.7,16.3,31.0,Take-Private
2025-01-19,Provider,Europe,0.027,8.7,15.4,24.1,Carve-out
2025-07-16,Provider,Asia-Pacific,0.104,13.5,18.4,32.0,Buyout
2025-10-12,Provider,North America,0.044,16.7,8.7,25.3,Sponsor-to-Sponsor
2025-09-24,Provider,North America,0.465,11.0,12.8,23.7,Buyout
2025-03-10,Provider,Europe,0.004,10.7,7.8,18.5,Sponsor-to-Sponsor
2025-07-21,Provider,North America,1.207,9.4,8.1,17.5,Sponsor-to-Sponsor
2025-10-13,Provider,North America,1.483,13.6,25.1,38.7,Sponsor-to-Sponsor
2025-10-10,Provider,North America,0.266,8.0,8.5,16.6,Carve-out
2025-08-19,Provider,North America,1.437,6.4,15.1,21.5,Carve-out
2025-05-11,Provider,North America,0.267,11.0,11.6,22.6,Carve-out
2025-06-13,Provider,Asia-Pacific,0.184,8.0,21.5,29.4,Take-Private
2025-08-14,Provider,North America,0.072,10.0,13.6,23.5,Carve-out
2025-04-12,Provider,North America,0.027,15.4,12.1,27.5,Take-Private
2025-03-03,Provider,Europe,0.042,10.9,13.3,24.2,Sponsor-to-Sponsor
2025-07-01,Provider,Europe,0.221,7.6,24.6,32.2,Carve-out
2025-03-24,Provider,Europe,0.553,6.0,4.1,10.0,Carve-out
2025-06-19,Provider,North America,0.217,5.0,8.7,13.7,Sponsor-to-Sponsor
2025-11-09,Provider,Asia-Pacific,0.458,12.0,16.8,28.8,Take-Private
2025-07-26,Provider,North America,0.033,14.9,6.5,21.4,Buyout
2025-01-20,Provider,Europe,0.187,8.3,18.3,26.6,Take-Private
2025-04-19,Provider,Asia-Pacific,0.261,12.9,16.8,29.7,Take-Private
2025-06-07,Provider,Europe,0.24,7.6,25.2,32.7,Sponsor-to-Sponsor
2025-09-11,Provider,North America,0.695,5.9,25.8,31.7,Sponsor-to-Sponsor
2025-05-20,Provider,Europe,0.024,10.9,20.6,31.5,Buyout
2025-01-03,Provider,Europe,0.266,8.9,18.5,27.4,Buyout
2025-04-22,Provider,North America,0.01,10.3,7.3,17.6,Buyout
2025-02-13,Provider,North America,0.136,11.5,8.2,19.6,Carve-out
2025-11-22,Provider,Asia-Pacific,1.917,7.9,15.1,23.0,Carve-out
2025-07-07,Provider,North America,0.102,6.3,12.2,18.5,Carve-out
2025-10-09,Provider,Europe,0.039,9.2,18.6,27.8,Sponsor-to-Sponsor
2025-04-22,Provider,Asia-Pacific,0.113,7.4,15.0,22.4,Take-Private
2025-09-06,Provider,Asia-Pacific,0.046,11.9,18.2,30.1,Buyout
2025-08-12,Provider,North America,0.102,9.2,10.2,19.4,Carve-out
2025-09-18,Provider,Europe,0.1,15.2,22.6,37.8,Carve-out
2025-04-04,Provider,Europe,0.128,8.0,26.4,34.3,Buyout
2025-08-08,Provider,Asia-Pacific,1.542,12.1,18.7,30.9,Carve-out
2025-03-05,Provider,North America,0.056,10.1,12.9,22.9,Take-Private
2025-11-01,Provider,Europe,0.175,6.1,8.6,14.7,Take-Private
2025-03-19,Provider,North America,0.766,4.3,8.6,13.0,Sponsor-to-Sponsor
2025-05-09,Provider,North America,0.544,13.0,16.3,29.3,Carve-out
2025-05-05,Provider,North America,1.323,12.6,17.2,29.7,Buyout
2025-08-16,Provider,North America,0.04,16.3,13.7,29.9,Carve-out
2025-09-21,Provider,North America,0.063,10.5,19.5,30.0,Sponsor-to-Sponsor
2025-11-18,Provider,North America,0.715,11.9,16.8,28.7,Buyout
2025-07-01,Provider,Europe,0.62,11.0,13.3,24.3,Carve-out
2025-09-08,Provider,Europe,0.059,9.6,16.2,25.8,Sponsor-to-Sponsor
2025-09-25,Provider,North America,0.306,6.8,16.7,23.5,Carve-out
2025-07-03,Provider,North America,0.008,6.5,15.7,22.2,Carve-out
2025-11-08,Provider,Europe,0.304,10.7,16.0,26.6,Buyout
2025-09-12,Provider,Europe,0.014,9.0,18.5,27.5,Take-Private
2025-05-05,Provider,Asia-Pacific,1.187,10.5,14.9,25.5,Sponsor-to-Sponsor
2025-07-23,Provider,North America,0.033,7.5,19.2,26.8,Carve-out
2025-05-17,Provider,North America,0.006,8.1,12.4,20.5,Sponsor-to-Sponsor
2025-07-09,Provider,North America,0.148,9.1,22.1,31.2,Sponsor-to-Sponsor
2025-11-06,Provider,North America,0.063,17.7,8.9,26.7,Carve-out
2025-07-11,Provider,North America,0.27,9.1,15.2,24.3,Carve-out
2025-01-18,Provider,Asia-Pacific,0.95,10.3,8.3,18.5,Take-Private
2025-10-18,Provider,Asia-Pacific,0.076,9.2,19.8,29.0,Sponsor-to-Sponsor
2025-01-06,Provider,Asia-Pacific,0.008,13.8,8.8,22.6,Buyout
2025-08-31,Provider,Europe,0.744,9.1,24.8,33.9,Sponsor-to-Sponsor
2025-06-08,Provider,Europe,0.149,8.7,19.2,28.0,Sponsor-to-Sponsor
2025-08-30,Provider,Asia-Pacific,0.02,12.4,15.7,28.1,Sponsor-to-Sponsor
2025-01-16,Provider,North America,0.583,9.4,13.0,22.5,Buyout
2025-01-09,Provider,Europe,0.266,10.9,10.8,21.6,Sponsor-to-Sponsor
2025-04-29,Provider,North America,2.952,14.5,19.7,34.2,Take-Private
2025-01-13,Provider,Europe,0.172,11.8,26.3,38.1,Sponsor-to-Sponsor
2025-03-23,Provider,Europe,0.069,11.9,11.2,23.1,Sponsor-to-Sponsor
2025-06-28,Provider,Asia-Pacific,0.034,10.1,9.0,19.1,Take-Private
2025-07-12,Provider,North America,0.261,9.8,16.3,26.1,Carve-out
2025-02-19,Provider,North America,2.424,11.5,16.0,27.6,Take-Private
2025-05-04,Provider,Europe,0.063,4.8,20.1,24.9,Buyout
2025-06-24,Provider,North America,0.485,9.2,15.5,24.7,Buyout
2025-02-18,Provider,Asia-Pacific,0.02,5.0,28.1,33.1,Buyout
2025-08-25,Provider,North America,0.22,9.5,7.4,16.9,Sponsor-to-Sponsor
2025-04-08,Provider,North America,0.082,11.0,9.0,20.0,Buyout
2025-03-24,Provider,North America,0.469,9.5,13.3,22.8,Sponsor-to-Sponsor
2025-02-09,Provider,Europe,0.032,6.3,14.7,21.0,Carve-out
2025-04-24,Provider,Asia-Pacific,0.319,5.8,15.0,20.8,Buyout
2025-03-13,Provider,North America,0.042,7.9,15.0,22.9,Carve-out
2025-03-17,Provider,Europe,0.281,8.8,14.9,23.7,Take-Private
2025-09-15,Provider,Asia-Pacific,0.121,9.1,23.4,32.5,Buyout
2025-08-15,Provider,Europe,0.064,8.4,15.5,23.9,Buyout
2025-04-20,Provider,North America,0.023,7.7,7.9,15.5,Take-Private
2025-05-09,Provider,North America,0.272,7.7,11.3,19.0,Take-Private
2025-03-13,Provider,North America,0.029,1.7,15.6,17.3,Carve-out
2025-06-15,Provider,Europe,0.746,10.7,21.2,31.8,Buyout
2025-02-22,Provider,North America,0.747,11.4,22.8,34.2,Buyout
2025-09-20,Provider,North America,0.19,9.4,21.2,30.6,Buyout
2025-07-25,Provider,North America,1.604,10.7,18.9,29.6,Carve-out
2025-11-01,Provider,North America,0.18,10.2,16.6,26.8,Buyout
2025-10-31,Provider,North America,0.006,9.2,17.4,26.6,Buyout
2025-05-09,Provider,North America,4.266,9.4,11.3,20.7,Carve-out
2025-03-13,Provider,Europe,0.863,10.7,18.6,29.3,Take-Private
2025-07-07,Medtech,North America,1.401,2.4,12.7,15.1,Buyout
2025-06-05,Medtech,Europe,0.16,11.6,13.4,25.1,Sponsor-to-Sponsor
2025-01-07,Medtech,Asia-Pacific,0.517,8.4,5.1,13.5,Take-Private
2025-06-28,Medtech,Asia-Pacific,0.029,12.2,11.4,23.6,Sponsor-to-Sponsor
2025-04-09,Medtech,North America,0.026,10.8,12.4,23.1,Sponsor-to-Sponsor
2025-06-29,Medtech,North America,0.2,11.9,13.1,25.0,Buyout
2025-08-25,Medtech,Europe,0.012,6.8,17.3,24.1,Buyout
2025-09-04,Medtech,North America,0.134,12.9,14.7,27.6,Carve-out
2025-10-23,Medtech,Asia-Pacific,0.023,10.6,18.8,29.4,Buyout
2025-09-29,Medtech,Asia-Pacific,0.004,18.5,19.0,37.5,Sponsor-to-Sponsor
2025-07-11,Medtech,North America,0.158,13.2,-1.5,11.7,Sponsor-to-Sponsor
2025-11-16,Medtech,Europe,0.124,8.6,8.9,17.5,Carve-out
2025-10-09,Medtech,North America,0.173,11.2,13.9,25.1,Take-Private
2025-01-28,Medtech,Europe,0.037,9.0,16.7,25.8,Sponsor-to-Sponsor
2025-06-19,Medtech,North America,0.04,9.8,9.1,18.8,Buyout
2025-02-11,Medtech,North America,0.192,9.7,10.0,19.7,Sponsor-to-Sponsor
2025-11-05,Medtech,Europe,1.487,11.7,12.5,24.3,Sponsor-to-Sponsor
2025-05-02,Medtech,Europe,18.3,8.2,16.7,24.9,Take-Private
2025-03-30,Medtech,Europe,0.073,11.7,24.7,36.4,Carve-out
2025-01-27,Medtech,North America,0.028,13.2,22.5,35.7,Buyout
2025-03-10,Medtech,North America,0.302,8.0,14.2,22.2,Buyout
2025-11-26,Medtech,North America,0.039,11.4,12.2,23.6,Carve-out
2025-07-14,Medtech,Europe,0.069,6.0,10.6,16.6,Take-Private
2025-05-02,Medtech,North America,0.08,6.5,10.4,17.0,Sponsor-to-Sponsor
2025-10-20,Medtech,Asia-Pacific,0.327,16.3,7.9,24.3,Take-Private
2025-03-18,Medtech,North America,0.009,10.7,18.1,28.8,Carve-out
2025-10-31,Medtech,Asia-Pacific,0.029,15.7,18.8,34.5,Carve-out
2025-03-05,Medtech,Europe,0.01,11.5,10.7,22.1,Take-Private
2025-08-01,Medtech,North America,0.743,12.9,19.4,32.3,Sponsor-to-Sponsor
2025-05-04,Medtech,Europe,1.073,8.9,5.2,14.1,Sponsor-to-Sponsor
2025-10-03,Medtech,Europe,0.029,6.4,16.3,22.7,Take-Private
2025-05-14,Medtech,North America,0.126,5.0,12.8,17.8,Sponsor-to-Sponsor
2025-08-18,Medtech,North America,0.321,15.4,23.3,38.7,Buyout
2025-01-09,Medtech,Europe,0.015,7.7,9.7,17.4,Take-Private
2025-03-24,Medtech,North America,0.577,14.7,15.1,29.8,Take-Private
2025-04-15,Medtech,Europe,0.084,12.9,15.7,28.6,Carve-out
2025-03-24,Medtech,North America,0.031,10.5,16.6,27.1,Buyout
2025-08-23,Medtech,North America,0.04,13.6,11.4,24.9,Buyout
2025-06-11,Medtech,North America,0.277,11.0,13.1,24.1,Buyout
2025-10-21,Medtech,North America,0.435,12.2,25.5,37.7,Carve-out
2025-11-09,Medtech,North America,0.012,12.7,13.8,26.5,Sponsor-to-Sponsor
2025-05-18,Medtech,Europe,0.177,16.6,16.8,33.4,Buyout
2025-05-15,Medtech,North America,2.117,7.6,21.2,28.7,Carve-out
2025-06-15,Medtech,North America,0.13,12.7,21.8,34.5,Buyout
2025-04-15,Medtech,North America,0.038,5.5,12.6,18.1,Buyout
2025-02-28,Medtech,North America,0.026,9.7,16.8,26.6,Sponsor-to-Sponsor
2025-07-05,Medtech,North America,0.052,5.2,22.0,27.3,Take-Private
2025-07-02,Medtech,North America,0.012,10.8,10.2,21.0,Buyout
2025-11-12,Medtech,North America,0.311,10.0,11.7,21.7,Buyout
2025-05-14,Medtech,North America,0.175,9.0,16.0,25.0,Take-Private
2025-03-12,Medtech,North America,0.005,10.8,20.2,31.0,Take-Private
2025-09-08,Medtech,North America,0.018,14.7,11.5,26.2,Carve-out
2025-10-25,Medtech,North America,0.131,9.3,13.4,22.7,Carve-out
2025-03-17,Medtech,Asia-Pacific,4.984,13.4,16.3,29.8,Carve-out
2025-05-29,Medtech,Europe,0.016,8.4,24.2,32.6,Take-Private
2025-09-23,Medtech,North America,2.625,11.0,13.3,24.3,Sponsor-to-Sponsor
2025-11-17,Medtech,Europe,0.009,10.9,10.3,21.2,Take-Private
2025-09-10,Medtech,North America,0.092,5.5,18.2,23.7,Take-Private
2025-01-31,Medtech,North America,0.013,10.0,20.3,30.2,Buyout
2025-03-19,Medtech,North America,0.025,8.9,24.8,33.7,Carve-out
2025-01-30,Medtech,North America,0.191,7.5,22.2,29.7,Carve-out
2025-08-15,Medtech,Asia-Pacific,0.152,10.2,12.7,22.8,Sponsor-to-Sponsor
2025-04-27,Medtech,North America,0.252,12.2,20.5,32.7,Buyout
2025-05-27,Medtech,North America,0.113,12.6,17.4,30.0,Sponsor-to-Sponsor
2025-10-04,Medtech,Asia-Pacific,0.118,11.0,9.7,20.7,Buyout
2025-09-22,Medtech,Europe,0.06,8.4,16.8,25.1,Buyout
2025-05-30,Medtech,Asia-Pacific,0.018,12.3,22.4,34.7,Sponsor-to-Sponsor
2025-10-23,Medtech,North America,0.031,16.1,9.6,25.7,Carve-out
2025-03-20,Medtech,Europe,0.195,3.6,17.7,21.3,Take-Private
2025-10-30,Medtech,North America,0.012,8.0,23.3,31.3,Sponsor-to-Sponsor
2025-10-09,Medtech,Europe,0.115,13.8,12.1,26.0,Carve-out
2025-10-17,Medtech,North America,0.515,13.8,8.9,22.7,Buyout
2025-09-29,Medtech,Europe,0.013,7.4,12.7,20.1,Take-Private
2025-05-05,Medtech,Europe,0.141,8.9,11.5,20.4,Carve-out
2025-02-05,Medtech,North America,0.079,8.3,4.9,13.2,Buyout
2025-06-18,Medtech,North America,0.354,13.9,9.1,23.0,Carve-out
2025-11-11,Medtech,North America,3.583,11.6,9.1,20.7,Buyout
